INDEX,STATE,YEAR,REVENUE_PER_STUDENT,TOTAL_EXPENDITURE_PER_STUDENT,INSTRUCTION_EXPENDITURE_PER_STUDENT,SUPPORT_SERVICES_EXPENDITURE_PER_STUDENT,OTHER_EXPENDITURE_PER_STUDENT,CAPITAL_OUTLAY_EXPENDITURE_PER_STUDENT
162,FLORIDA,1995,6.283569172,6.393303674,2.900598051,1.934924276,0.451253467,0.982471291
163,GEORGIA,1995,5.549263227,5.737659605,3.000275385,1.581299943,0.348113377,0.707321621
164,HAWAII,1995,6.382690938,6.293388227,3.464161985,1.787027721,0.52712529,0.515073231
165,IDAHO,1995,4.504986525,4.608376863,2.503817873,1.252424641,0.191754558,0.55958045
166,ILLINOIS,1995,6.449991856,6.231237623,3.179270499,1.991817774,0.241010647,0.539682715
167,INDIANA,1995,6.739898326,6.597778656,3.253722758,1.820776891,0.300697687,0.665953185
168,IOWA,1995,6.168289441,6.216002422,3.236532174,1.749348986,0.256482578,0.420594302
169,KANSAS,1995,6.133461342,5.98101995,3.053468719,1.911636888,0.352851455,0.384569488
170,KENTUCKY,1995,5.482370092,5.337363592,2.95401505,1.738931112,0.330121314,0.223844986
171,LOUISIANA,1995,4.757220589,4.686721593,2.572077921,1.356972678,0.363041223,0.275153345
172,MAINE,1995,6.819315214,6.781842435,3.928118254,1.8469508,0.297213345,0.334511723
173,MARYLAND,1995,7.055070056,7.092933959,3.874768945,2.23572897,0.320118644,0.579983513
174,MASSACHUSETTS,1995,8.198145519,7.503501629,4.119013972,2.059741957,0.243873129,0.290896437
175,MICHIGAN,1995,7.790587506,7.776625759,3.840627175,2.440550393,0.590246845,0.46967798
176,MINNESOTA,1995,7.033772706,7.536869945,3.807802178,1.869582892,0.640714098,0.811192673
177,MISSISSIPPI,1995,4.210150586,4.291801526,2.363186244,1.131899201,0.327468056,0.406170463
178,MISSOURI,1995,5.626016081,5.747462334,2.983816905,1.680492287,0.304136208,0.610156463
179,MONTANA,1995,5.552919096,5.481935787,3.189221798,1.715298978,0.222364404,0.28566989
180,NEBRASKA,1995,6.410889461,6.557092179,3.643249976,1.645377069,0.231681804,0.847492968
181,NEVADA,1995,5.454498323,5.508297142,2.814404045,1.74944267,0.193017719,0.503016961
182,NEW_HAMPSHIRE,1995,6.432299357,6.617652586,3.632971612,1.867363979,0.215212711,0.431724827
183,NEW_JERSEY,1995,10.13109884,10.20920439,5.176447393,3.556343233,0.419654029,0.614204828
184,NEW_MEXICO,1995,5.030557397,4.707926283,2.365775104,1.510598833,0.243563848,0.52303875
185,NEW_YORK,1995,9.15291994,9.692281989,5.730995658,2.545540197,0.345256524,0.661449677
186,NORTH_CAROLINA,1995,5.260289566,5.382351668,2.958559547,1.504144565,0.335287315,0.48878942
187,NORTH_DAKOTA,1995,5.38389444,5.213466568,2.744467172,1.339103682,0.425533163,0.331257126
188,OHIO,1995,6.213188498,6.192090661,3.301943806,2.134283658,0.278999826,0.371067588
189,OKLAHOMA,1995,5.176813838,5.215763035,2.663320448,1.511410545,0.47764714,0.484105599
190,OREGON,1995,6.358874912,6.270141194,3.445690605,2.042127237,0.217031528,0.411836298
191,PENNSYLVANIA,1995,8.013464447,8.11611772,4.342013369,2.244332255,0.316028381,0.552953497
192,RHODE_ISLAND,1995,7.433779645,7.207715761,4.619361704,2.104638869,0.188344508,0.128716518
193,SOUTH_CAROLINA,1995,5.305606687,5.144429314,2.672423616,1.563630103,0.363717756,0.410330579
194,SOUTH_DAKOTA,1995,5.054703529,5.121732328,2.806832775,1.475652058,0.222445274,0.507432063
195,TENNESSEE,1995,4.445429213,4.547438875,2.579427379,1.172524736,0.254680138,0.453362876
196,TEXAS,1995,5.581290717,5.503783508,2.902465036,1.574533237,0.296272187,0.573555854
197,UTAH,1995,4.134317557,4.32792765,2.263563054,0.921032864,0.304332094,0.737738288
198,VERMONT,1995,9.319616815,8.885811976,4.144053351,2.082458606,0.248043701,0.359261142
199,VIRGINIA,1995,5.990162225,6.213180695,3.254978983,1.847070491,0.318124186,0.568193709
200,WASHINGTON,1995,6.378914734,6.608399747,3.280976304,1.954422507,0.282502446,0.837247446
201,WEST_VIRGINIA,1995,6.177993173,6.205375994,3.559628148,1.742443534,0.414084988,0.433112745
202,WISCONSIN,1995,6.941212701,6.999117145,3.958220376,2.042804614,0.235796315,0.493097782
203,WYOMING,1995,6.322517296,6.409225033,3.559214068,1.98047132,0.219062145,0.487618877
204,ALABAMA,1996,4.572711139,4.854225777,2.700075553,1.270688615,0.438752188,0.389583265
205,ALASKA,1996,8.878317444,9.826775709,5.047658671,2.89316026,0.309028521,1.420860772
206,ARIZONA,1996,5.418343074,5.74298956,2.432395993,1.560467698,0.288551697,1.147131941
207,ARKANSAS,1996,4.820821935,5.072522615,2.791467122,1.404495846,0.280426224,0.449441055
208,CALIFORNIA,1996,5.728975856,5.780017302,3.091434752,1.688965484,0.432636924,0.472602612
209,COLORADO,1996,5.934615871,6.215183039,3.129982812,1.71968753,0.219264305,0.897099038
210,CONNECTICUT,1996,9.375518942,9.079827536,5.405273951,2.593197483,0.299694887,0.298764543
211,DELAWARE,1996,7.932897539,7.592867482,4.125547432,2.267395654,0.320373222,0.664543015
212,DISTRICT_OF_COLUMBIA,1996,8.506979775,8.812373123,4.196548959,3.921505727,0.500689206,0.193629232
213,FLORIDA,1996,6.290686289,6.406429856,2.933154267,1.94467608,0.456071017,0.938875639
214,GEORGIA,1996,5.922151647,6.051467212,3.140904841,1.621335402,0.388928295,0.795446052
215,HAWAII,1996,6.408302335,6.582168206,3.586801992,1.75373589,0.550752523,0.690877801
216,IDAHO,1996,4.665018491,4.928991308,2.642471935,1.346339116,0.19642365,0.647757891
217,ILLINOIS,1996,6.614196065,6.453659018,3.274629215,2.05751726,0.246561765,0.578029268
218,INDIANA,1996,6.58427298,6.811216304,3.376783142,1.89386799,0.309889231,0.632387963
219,IOWA,1996,6.485688066,6.537734178,3.342518956,1.85502137,0.267992189,0.481871948
220,KANSAS,1996,6.294802682,6.495898559,3.17074651,1.958488838,0.365201033,0.688603653
221,KENTUCKY,1996,5.664757455,5.983189243,3.080971837,1.781835439,0.357522935,0.646783346
222,LOUISIANA,1996,4.873378161,4.792660852,2.610670693,1.404288727,0.375947604,0.297223796
223,MAINE,1996,6.952860708,6.859017514,4.013337953,1.863474422,0.297456473,0.293280462
224,MARYLAND,1996,7.06220641,7.231890499,3.969857637,2.304101328,0.312000338,0.558133386
225,MASSACHUSETTS,1996,7.814888253,8.198322975,4.572656824,2.140890906,0.243203665,0.394732169
226,MICHIGAN,1996,7.977335971,8.014005619,3.955638756,2.578551937,0.424176844,0.563458116
227,MINNESOTA,1996,7.374043108,7.763047214,3.873382015,1.840250031,0.666501091,0.92106529
228,MISSISSIPPI,1996,4.451056588,4.504997994,2.459307151,1.190279228,0.330326329,0.458880227
229,MISSOURI,1996,6.008939575,6.039574672,3.141574175,1.741103623,0.324552821,0.650642489
230,MONTANA,1996,5.711487998,5.588360844,3.253467562,1.752868976,0.225950783,0.290670536
231,NEBRASKA,1996,6.602687631,6.709771098,3.690189489,1.719226554,0.245592928,0.855806894
232,NEVADA,1996,5.852562434,6.070717361,2.89478609,1.823257534,0.20009357,0.867597843
233,NEW_HAMPSHIRE,1996,6.645829407,6.780517685,3.798606312,1.782460053,0.220801659,0.508711859
234,NEW_JERSEY,1996,10.37732677,10.44385926,5.558645077,3.433367004,0.393288372,0.630869701
235,NEW_MEXICO,1996,5.310057908,4.98244257,2.421775703,1.576819824,0.248367262,0.661327849
236,NEW_YORK,1996,9.333990115,9.67403006,5.728715226,2.493749155,0.337962726,0.658427962
237,NORTH_CAROLINA,1996,5.514895058,5.515496784,2.985727827,1.507045531,0.340444313,0.581641842
238,NORTH_DAKOTA,1996,5.50764051,5.52307266,2.840640795,1.423527733,0.440429212,0.437943947
239,OHIO,1996,6.624179649,6.495102382,3.423806124,2.201849341,0.289539014,0.458881232
240,OKLAHOMA,1996,5.167177128,5.18371088,2.661359817,1.538075323,0.486538749,0.413835337
241,OREGON,1996,6.396188484,6.650191656,3.561478601,2.092616277,0.220217557,0.578821416
242,PENNSYLVANIA,1996,8.316550433,8.530494859,4.512700121,2.324978445,0.329002555,0.677616621
243,RHODE_ISLAND,1996,7.619914483,7.333071548,4.697221719,2.161132255,0.16734798,0.135463864
244,SOUTH_CAROLINA,1996,5.654447692,5.496053033,2.864420351,1.551346751,0.37085128,0.578726966
245,SOUTH_DAKOTA,1996,5.210845052,5.057539188,2.810805461,1.475064886,0.235956127,0.413881842
246,TENNESSEE,1996,4.675954268,4.858730773,2.680519059,1.296710288,0.260671688,0.521859395
247,TEXAS,1996,5.946476716,5.989368921,3.055285996,1.639268393,0.314008919,0.713100426
248,UTAH,1996,4.286578214,4.528716149,2.385321758,0.992678567,0.323391738,0.721423352
249,VERMONT,1996,9.550759915,9.655436159,4.200922188,2.169348136,0.229230982,0.558834006
250,VIRGINIA,1996,6.180945757,6.392886446,3.334929537,1.894144949,0.322254675,0.667811575
251,WASHINGTON,1996,6.643089072,6.877044279,3.368902707,2.015025529,0.292935608,0.936149082
252,WEST_VIRGINIA,1996,6.391387204,6.320253483,3.693399597,1.817168161,0.425735273,0.330721714
253,WISCONSIN,1996,7.290957893,7.496072098,4.101092042,2.151982343,0.244144931,0.709636408
254,WYOMING,1996,6.649946424,6.772599365,3.606084579,2.005107201,0.219409367,0.785547622
255,ALABAMA,1997,5.399869268,5.375236308,2.842343088,1.45832983,0.439328927,0.569674499
256,ALASKA,1997,8.83349071,9.654081768,5.087558431,2.909156177,0.319744348,1.188750068
